Accession	PlasmidSize	log10PlasmidSize	CollectionDate	NumInsertionSequences	InsertionSequenceDensity	BiocideMetalResistance	Virulence	Integron	ConjugativeSystem	GeographicLocation	IsolationSource	RepliconCarriage	HostTaxonomy	outcomeaminoglycoside	outcomebetalactam_carbapenem	outcomebetalactam_ESBL	outcomebetalactam_other	outcomemacrolide	outcomephenicol	outcomequinolone	outcomesulphonamide	outcometetracycline	outcometrimethoprim	NumOtherResistanceClassesaminoglycoside	NumOtherResistanceClassesbetalactam_carbapenem	NumOtherResistanceClassesbetalactam_ESBL	NumOtherResistanceClassesbetalactam_other	NumOtherResistanceClassesmacrolide	NumOtherResistanceClassesphenicol	NumOtherResistanceClassesquinolone	NumOtherResistanceClassessulphonamide	NumOtherResistanceClassestetracycline	NumOtherResistanceClassestrimethoprim
AP014939.1	166258	1.22078255185342	21	5	0.300737408124722	1	0	1	conjugative	other	other	single-replicon	Enterobacteriaceae	1	0	0	1	0	0	0	1	0	0	2	3	3	2	3	3	3	2	3	3
AP017892.1	91831	0.962989313622423	23	4	0.435582755278719	0	0	0	conjugative	other	other	single-replicon	Enterobacteriaceae	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1
AP017893.1	101377	1.00593943521325	23	3	0.295925111218521	0	0	0	conjugative	other	other	single-replicon	Enterobacteriaceae	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1
AP017923.1	37965	0.579383404213935	11	0	0	0	0	0	mobilisable	high-income	human	single-replicon	Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP017992.1	117686	1.0707248019736	0	3	0.254915622928811	0	0	0	non-mobilisable	high-income	other	untyped	other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP017993.1	99115	0.996139385305254	0	3	0.302678706552994	0	0	0	non-mobilisable	high-income	other	untyped	other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP017994.1	52365	0.71904110786986	0	1	0.190967249116776	0	0	0	non-mobilisable	high-income	other	untyped	other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP017995.1	34730	0.540704783310762	0	0	0	0	0	0	non-mobilisable	high-income	other	untyped	other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP018137.1	93258	0.969686097390428	21	7	0.750605846147247	1	0	0	non-mobilisable	middle-income	human	multi-replicon	Enterobacteriaceae	1	1	0	1	1	0	0	1	1	1	4	5	5	5	5	5	5	4	5	5
AP018138.1	87587	0.942439651291005	21	3	0.342516583511252	1	0	1	mobilisable	middle-income	human	single-replicon	Enterobacteriaceae	1	1	0	1	1	0	0	1	0	1	4	5	5	5	5	5	5	4	5	5
AP018142.1	43534	0.638828572926231	21	3	0.689116552579593	0	0	0	conjugative	middle-income	human	single-replicon	Enterobacteriaceae	0	1	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1
AP018143.1	176026	1.24557682021511	21	8	0.454478315703362	1	0	1	conjugative	middle-income	human	single-replicon	Enterobacteriaceae	1	1	0	1	1	0	0	1	0	1	4	5	5	5	5	5	5	4	5	5
AP018275.1	91394	0.960917685313442	14	4	0.437665492264262	0	0	0	non-mobilisable	high-income	other	untyped	other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP018276.1	55090	0.741072772373322	14	3	0.544563441640951	0	0	0	mobilisable	high-income	other	untyped	other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP018277.1	126615	1.10248515932536	14	4	0.315918335110374	0	0	0	mobilisable	high-income	other	untyped	other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP018278.1	72581	0.860822947489367	14	2	0.275554208401648	0	0	0	non-mobilisable	high-income	other	untyped	other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP018279.1	5239	-0.280751601552054	14	0	0	0	0	0	non-mobilisable	high-income	other	untyped	other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP018319.1	311693	1.49372704900283	8	6	0.123782547073471	0	0	0	conjugative	high-income	other	untyped	other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP018320.1	311693	1.49372704900283	8	5	0.160412709819824	0	0	0	conjugative	high-income	other	untyped	other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP018321.1	93475	0.970695473826257	8	3	0.320941428189355	0	0	0	non-mobilisable	high-income	other	untyped	other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP018323.1	42584	0.629246453164699	8	2	0.469659966184482	0	0	0	non-mobilisable	high-income	other	untyped	other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP018324.1	37388	0.572732234017682	8	4	1.05	0	0	0	non-mobilisable	high-income	other	untyped	other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP018325.1	29094	0.463803434499168	8	2	0.687426960885406	0	0	0	mobilisable	high-income	other	untyped	other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP018330.1	40828	0.610958106098902	8	0	0	0	0	0	mobilisable	high-income	other	untyped	other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP018331.1	34879	0.542564024978776	8	0	0	0	0	0	mobilisable	high-income	other	untyped	other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP018332.1	34997	0.544030817513511	8	0	0	0	0	0	non-mobilisable	high-income	other	untyped	other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP018334.1	29435	0.468864040148188	8	0	0	0	0	0	mobilisable	high-income	other	untyped	other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP018350.1	33748	0.528248040435169	16	0	0	0	1	1	conjugative	other	human	single-replicon	Enterobacteriaceae	1	1	0	0	0	0	0	1	0	0	2	2	3	3	3	3	3	2	3	3
AP018351.1	112622	1.05162323550056	16	1	0.08879259824901	0	0	1	non-mobilisable	other	human	single-replicon	Enterobacteriaceae	1	1	0	0	0	0	0	1	0	0	2	2	3	3	3	3	3	2	3	3
AP018352.1	311693	1.49372704900283	13	9	0.27104678267469	1	0	1	mobilisable	other	human	multi-replicon	Enterobacteriaceae	1	1	0	0	0	0	1	1	1	0	4	4	5	5	5	5	4	4	4	5
AP018353.1	88108	0.945015343123952	24	4	0.453988287102193	0	0	0	conjugative	other	other	single-replicon	Enterobacteriaceae	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	1	1	1	1	1
AP018354.1	87280	0.940914737580285	24	6	0.687442713107241	0	0	0	conjugative	other	other	single-replicon	Enterobacteriaceae	1	0	0	1	1	0	0	0	0	0	2	3	3	2	2	3	3	3	3	3
AP018355.1	66807	0.824821969992009	24	2	0.299369826515186	0	0	0	conjugative	other	other	single-replicon	Enterobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP018362.1	53198	0.725895305127922	16	4	0.751907966464905	1	0	1	conjugative	high-income	human	single-replicon	Enterobacteriaceae	1	1	1	0	0	0	0	1	1	0	4	4	4	5	5	5	5	4	4	5
AP018363.1	53989	0.732305283416715	21	4	0.740891663116561	1	0	1	conjugative	high-income	human	single-replicon	Enterobacteriaceae	1	1	1	0	0	0	0	1	1	0	4	4	4	5	5	5	5	4	4	5
AP018411.1	33310	0.522574632691176	23	1	0.300210147102972	0	0	0	conjugative	other	other	single-replicon	Enterobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP018412.1	60732	0.783417583356412	23	0	0	0	0	0	conjugative	other	other	single-replicon	Enterobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP018454.1	78997	0.897610598781776	23	3	0.379761256756586	1	0	1	conjugative	other	other	single-replicon	Enterobacteriaceae	1	1	0	0	0	0	0	1	0	0	2	2	3	3	3	3	3	2	3	3
AP018455.1	86881	0.938924811001477	23	3	0.345299892957033	1	0	1	conjugative	other	other	single-replicon	Enterobacteriaceae	1	1	0	0	0	0	0	1	0	0	2	2	3	3	3	3	3	2	3	3
AP018456.1	159781	1.20352513489195	24	8	0.500685313022199	1	1	0	conjugative	other	other	multi-replicon	Enterobacteriaceae	1	0	0	1	1	0	0	1	1	1	4	5	5	5	5	5	5	4	5	5
AP018457.1	86535	0.937191798013823	24	6	0.693361067776044	0	0	0	mobilisable	other	other	multi-replicon	Enterobacteriaceae	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1
AP018458.1	115704	1.06334837319461	24	8	0.691419484201065	0	1	0	conjugative	other	other	multi-replicon	Enterobacteriaceae	1	0	0	1	0	0	0	0	0	0	1	2	2	1	2	2	2	2	2	2
AP018531.1	23358	0.368435654101805	22	0	0	0	0	0	non-mobilisable	high-income	human	untyped	Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP018534.1	5962	-0.224608028303388	22	0	0	0	0	0	mobilisable	high-income	human	untyped	Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP018557.1	51787	0.714220753242595	20	3	0.579295962307143	1	0	1	conjugative	other	human	single-replicon	Enterobacteriaceae	0	1	1	0	0	0	0	1	1	0	4	3	3	4	4	4	4	3	3	4
AP018565.1	73037	0.863542926215682	22	5	0.684584525651382	0	0	0	conjugative	middle-income	human	multi-replicon	Proteobacteria_other	0	1	0	1	0	0	1	0	1	0	4	3	4	3	4	4	3	4	3	4
AP018566.1	72491	0.860284090805986	19	4	0.551792636327268	0	0	0	conjugative	middle-income	human	multi-replicon	Proteobacteria_other	1	1	0	1	0	0	1	0	1	0	4	4	5	4	5	5	4	4	4	5
AP018567.1	39023	0.591320653919674	23	6	1.05	0	0	0	non-mobilisable	middle-income	human	single-replicon	Enterobacteriaceae	0	1	0	1	0	0	0	0	0	0	2	1	2	1	2	2	2	2	2	2
AP018568.1	87954	0.94425559522526	23	2	0.227391591058963	0	0	0	conjugative	middle-income	human	multi-replicon	Enterobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP018569.1	120480	1.08091495885663	23	9	0.830013280212483	1	0	0	non-mobilisable	middle-income	human	single-replicon	Enterobacteriaceae	1	0	1	1	1	1	1	1	1	1	4	5	5	5	5	5	5	4	5	5
AP018570.1	287499	1.45863633843352	23	8	0.278261837432478	1	0	1	conjugative	middle-income	human	single-replicon	Enterobacteriaceae	1	0	0	1	1	0	1	1	0	1	4	5	5	5	5	5	5	4	5	5
AP018571.1	52636	0.721282878251546	22	5	0.949920206702637	0	0	0	conjugative	middle-income	human	single-replicon	Enterobacteriaceae	0	1	1	0	0	0	0	0	0	0	2	1	1	2	2	2	2	2	2	2
AP018572.1	111343	1.04666291865848	19	3	0.269437683554422	0	0	0	non-mobilisable	middle-income	human	multi-replicon	Enterobacteriaceae	1	1	1	1	0	0	0	0	0	0	3	3	3	3	4	4	4	4	4	4
AP018573.1	53235	0.726197258403274	19	1	0.187846341692496	0	0	0	non-mobilisable	middle-income	human	untyped	Enterobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP018574.1	74444	0.871829700450885	19	5	0.671645800870453	0	0	0	mobilisable	middle-income	human	multi-replicon	Enterobacteriaceae	1	0	0	1	1	0	1	0	0	0	3	4	4	3	3	4	3	4	4	4
AP018575.1	86518	0.937106471481304	19	1	0.115582884486465	0	0	0	conjugative	middle-income	human	single-replicon	Enterobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP018576.1	93999	0.97312323342106	19	1	0.10638411046926	0	0	0	non-mobilisable	middle-income	human	untyped	Enterobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP018577.1	147663	1.16927168753363	21	7	0.474052403107075	1	0	1	mobilisable	middle-income	human	multi-replicon	Enterobacteriaceae	1	1	1	1	0	1	1	1	0	1	4	5	5	5	5	5	5	4	5	5
AP018578.1	147503	1.16880085333246	22	7	0.474566618984021	1	0	1	mobilisable	middle-income	human	multi-replicon	Enterobacteriaceae	1	1	1	1	0	1	1	1	0	1	4	5	5	5	5	5	5	4	5	5
AP018580.1	75216	0.876310233844177	21	6	0.797702616464582	0	0	0	conjugative	middle-income	human	single-replicon	Enterobacteriaceae	1	1	0	0	0	0	0	0	0	0	1	1	2	2	2	2	2	2	2	2
AP018582.1	75238	0.876437242480305	19	6	0.797469363885271	0	0	0	conjugative	middle-income	human	single-replicon	Enterobacteriaceae	1	1	0	0	0	0	0	0	0	0	1	1	2	2	2	2	2	2	2	2
AP018583.1	311693	1.49372704900283	22	9	0.377686293764399	1	0	0	mobilisable	middle-income	human	multi-replicon	Enterobacteriaceae	1	1	1	1	0	0	1	1	0	1	4	5	5	5	5	5	5	4	5	5
AP018584.1	105196	1.0219992264056	22	5	0.475303243469333	0	0	0	mobilisable	middle-income	human	single-replicon	Enterobacteriaceae	1	1	1	1	0	0	0	0	0	0	3	3	3	3	4	4	4	4	4	4
AP018692.1	92722	0.967182790725126	2	3	0.323547809581329	0	1	0	non-mobilisable	high-income	human	multi-replicon	Enterobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP018698.1	154991	1.1903064803392	17	1	0.0645198753476008	0	0	0	mobilisable	United States	other	untyped	other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP018700.1	37398	0.572848377275642	15	4	1.05	0	0	0	mobilisable	high-income	other	single-replicon	Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP018701.1	21680	0.336059277866349	15	1	0.461254612546125	0	0	0	non-mobilisable	high-income	other	single-replicon	Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP018702.1	12250	0.0881360887005513	15	0	0	0	0	0	mobilisable	high-income	other	untyped	Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP018703.1	3029	-0.518700726667144	15	0	0	0	0	0	non-mobilisable	high-income	other	untyped	Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP018704.1	2942	-0.531357331608489	15	0	0	0	0	0	non-mobilisable	high-income	other	single-replicon	Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP018705.1	38644	0.587082073437498	24	0	0	0	0	0	conjugative	other	other	untyped	other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP018706.1	39117	0.592365540046917	24	0	0	0	0	0	conjugative	other	other	untyped	other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP018707.1	41033	0.613133270216155	24	0	0	0	1	0	conjugative	other	other	untyped	other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP018708.1	41117	0.614021419922643	24	0	0	0	1	0	conjugative	other	other	untyped	other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP018709.1	50476	0.703084931680658	24	0	0	0	0	0	conjugative	other	other	single-replicon	other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP018710.1	35552	0.550864037260774	24	0	0	0	0	0	conjugative	other	other	untyped	other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP018830.1	209679	1.32155493670849	21	9	0.476919481683907	1	0	1	conjugative	middle-income	human	multi-replicon	Enterobacteriaceae	1	1	1	1	1	1	1	1	1	1	4	5	5	5	5	5	5	4	5	5
AP018831.1	51479	0.711630101971664	21	4	0.777015870549156	0	0	0	conjugative	middle-income	human	multi-replicon	Enterobacteriaceae	0	1	0	0	0	0	1	0	0	0	2	1	2	2	2	2	1	2	2	2
AP018832.1	57089	0.756552435749973	21	5	0.875825465501235	1	0	1	non-mobilisable	middle-income	human	single-replicon	Enterobacteriaceae	1	1	0	0	0	0	0	1	0	0	2	2	3	3	3	3	3	2	3	3
AP018834.1	54064	0.732908174430821	21	7	1.05	1	0	1	non-mobilisable	middle-income	human	single-replicon	Enterobacteriaceae	1	1	1	1	0	1	1	1	0	0	4	5	5	5	5	5	5	4	5	5
AP018838.1	51479	0.711630101971664	22	4	0.777015870549156	0	0	0	conjugative	middle-income	human	multi-replicon	Enterobacteriaceae	0	1	0	0	0	0	1	0	0	0	2	1	2	2	2	2	1	2	2	2
AP018939.1	123579	1.09194467658629	21	9	0.809198973935701	0	0	1	mobilisable	high-income	human	multi-replicon	Enterobacteriaceae	1	0	1	1	1	1	1	1	1	1	4	5	5	5	5	5	5	4	5	5
AP019190.1	72781	0.862018018432112	21	4	0.549593987441777	0	0	0	mobilisable	middle-income	human	single-replicon	Enterobacteriaceae	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1
AP019191.1	110735	1.04428490998833	22	9	0.812751162685691	1	0	1	non-mobilisable	middle-income	human	multi-replicon	Enterobacteriaceae	1	1	1	1	1	1	1	1	1	1	4	5	5	5	5	5	5	4	5	5
AP019364.1	2942	-0.531357331608489	23	0	0	0	0	0	non-mobilisable	high-income	other	untyped	Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP019380.1	10426	0.0181177205910004	25	0	0	0	0	0	non-mobilisable	other	other	untyped	Proteobacteria_other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP019381.1	2942	-0.531357331608489	25	0	0	0	0	0	non-mobilisable	other	other	untyped	Proteobacteria_other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP019382.1	311693	1.49372704900283	18	9	0.277933901142	1	0	1	mobilisable	high-income	human	multi-replicon	Enterobacteriaceae	1	1	0	0	0	0	1	1	1	0	4	4	5	5	5	5	4	4	4	5
AP019383.1	311693	1.49372704900283	19	9	0.275566442131047	1	0	1	mobilisable	high-income	human	multi-replicon	Enterobacteriaceae	1	1	0	0	0	0	1	1	1	0	4	4	5	5	5	5	4	4	4	5
AP019384.1	251286	1.40016829323995	20	8	0.31836234410194	1	0	1	non-mobilisable	high-income	human	multi-replicon	Enterobacteriaceae	1	1	0	0	0	0	0	1	0	0	2	2	3	3	3	3	3	2	3	3
AP019386.1	311693	1.49372704900283	21	9	0.277650949566248	1	0	1	mobilisable	high-income	human	multi-replicon	Enterobacteriaceae	1	1	0	0	0	0	1	1	1	0	4	4	5	5	5	5	4	4	4	5
AP019388.1	311693	1.49372704900283	21	9	0.282090983745291	1	0	1	mobilisable	high-income	human	multi-replicon	Enterobacteriaceae	1	1	0	0	0	0	1	1	1	0	4	4	5	5	5	5	4	4	4	5
AP019395.1	196595	1.29357246822642	19	8	0.406927948320151	0	0	0	mobilisable	middle-income	other	single-replicon	Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP019396.1	17267	0.237216889008002	19	0	0	0	0	0	non-mobilisable	middle-income	other	untyped	Firmicutes	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	1	1	1	1	1
AP019401.1	181837	1.25968225765866	21	7	0.384960156623789	1	0	0	conjugative	high-income	human	multi-replicon	Enterobacteriaceae	0	0	0	0	0	0	0	0	1	1	2	2	2	2	2	2	2	2	1	1
AP019402.1	50925	0.706931037672201	21	3	0.589101620029455	1	0	1	conjugative	high-income	human	single-replicon	Enterobacteriaceae	1	1	1	0	0	0	0	1	1	0	4	4	4	5	5	5	5	4	4	5
AP019409.1	153750	1.18681512444745	25	9	0.650406504065041	0	0	0	non-mobilisable	other	human	single-replicon	Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP019410.1	40229	0.604539237147955	25	2	0.497153794526337	0	0	0	non-mobilisable	other	human	single-replicon	Firmicutes	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	1	1	1	1	1
AP019515.1	273549	1.43703513148682	25	5	0.182782609331418	0	0	0	non-mobilisable	other	other	untyped	Proteobacteria_other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP019532.1	82605	0.917006335536964	25	3	0.363174142001089	0	0	0	conjugative	other	other	untyped	Proteobacteria_other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP019534.1	101731	1.00745331356634	23	3	0.294895361295967	0	0	0	non-mobilisable	high-income	human	multi-replicon	Enterobacteriaceae	0	1	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1
AP019544.1	23184	0.365188368127099	21	1	0.431331953071084	1	0	0	non-mobilisable	high-income	human	multi-replicon	Firmicutes	1	0	0	1	0	0	0	0	0	0	1	2	2	1	2	2	2	2	2	2
AP019549.1	228290	1.35848688810024	19	8	0.350431468745893	1	1	0	non-mobilisable	other	human	multi-replicon	Enterobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
